Product (CSV Name),Website Product Name,Length,Size,Taper,Pack Type,Pack Quantity,Sub Category (Type),Product Type,Original Brand,Parent Company,Full Description,Key Features,Specs / Sizes,Certification,Source URL,Primary Image URL
I Root Pro,iRoot Pro,,,,,,Equipment,Endo Motor,Bomedent,Bondent,"Cordless Endo Motor with integrated Apex Locator. The iRoot Pro combines motor and apex locator in one compact cordless device, streamlining endodontic procedures.",Integrated Apex Locator; Cordless design; Compact form factor,Cordless unit,,https://bondent.eu/dentistry-solutions/iroot-pro/,https://staging3.bondent.eu/wp-content/uploads/2024/01/02-3-1024x768.png
I Bon Mini,I Bon Mini,,,,,,Equipment,Endo Motor,Bomedent,Bondent,Compact cordless endo motor. Exact listing not currently published on bondent.eu — confirm details directly with Bondent.,Compact / Mini design; Cordless,Cordless unit,,,
I Bon Mini SE,I Bon Mini SE,,,,,,Equipment,Endo Motor,Bomedent,Bondent,Compact cordless endo motor – Special Edition. Exact listing not currently published on bondent.eu — confirm details directly with Bondent.,Mini SE / Special Edition; Compact; Cordless,Cordless unit,,,
I Bon Plus,I Bon Plus,,,,,,Equipment,Endo Motor,Bomedent,Bondent,Cordless endo motor – Plus version with enhanced features. Exact listing not currently published on bondent.eu — confirm details directly with Bondent.,Plus / Enhanced model; Cordless,Cordless unit,,,
I Root Apex,iRoot Apex,,,,,,Equipment,Apex Locator,Bomedent,Bondent,Smart precise Apex Locator by Bomedent. Features Integrated Bluetooth connectivity and high-precision gyroscope for automatic display orientation switching.,Integrated Bluetooth; Easy Start; High precision gyroscope; Automatic display mode switching,Stand-alone apex locator unit,,https://bondent.eu/dentistry-solutions/iroot-apex/,https://bondent.eu/wp-content/uploads/2022/02/0217-10.jpg
Actor I Pro,Actor I pro,,,,,,Equipment,Ultrasonic Endo Activation Device,Bomedent,Bondent,"Ultrasonic Endo Activation Device for improved irrigation and canal debridement. Features two power modes, wireless charging, mute ultrasonic technology and front LED light for enhanced visibility.",Two working modes (regular & high power); 1600mAh battery; Wireless charging; Mute ultrasonic technology; Front LED light; Wireless foot control (optional); Tips: 20/02-21mm x 3pcs and 25/02-18mm x 3pcs,Tip sizes: 20/02 – 21mm; 25/02 – 18mm (3 pcs each),,https://bondent.eu/dentistry-solutions/actor-i-pro/,https://bondent.eu/wp-content/uploads/2022/02/Actor-I-Pro-3-scaled.png
E Heater,eHeater,,,,,,Equipment,Obturation System / Heat Pen,Bomedent,Bondent,"eHeater is a cordless obturation heat pen (Down Pack System). Heats continuously for 4 seconds then auto-stops to protect gum tissue. Temperature reaches 200°C in 0.2 seconds — no waiting, quick cuts.",Auto-stop after 4s continuous heat; 2600mAh battery; 0.2s to 200°C; Rotation tip (multi-angle); Wireless foot control optional,Cordless heat pen; Rotating needle tip,,https://bondent.eu/dentistry-solutions/eheater/,https://bondent.eu/wp-content/uploads/2022/02/牙胶尖切断器_eHeater产品图.png
K File,Stainless Steel K Files,21mm,6,,,Pack of 6 files,Preparation Files,Stainless Steel Hand File,UDG,Bondent,UDG K File is a stainless steel hand instrument featuring a radiopaque silicon stopper and X-ray visible calibration rings. The inactive pilot tip guides the instrument safely along the canal to working length. Available in sizes #6 to #80.,Radiopaque silicon stopper; X-ray visible calibration rings; Inactive pilot tip; Stainless steel construction,"Sizes: #6, #8, #10, #15, #20, #25, #30, #35, #40 (individual) | Assorted #15-40, Assorted #45-80 | Lengths: 21mm, 25mm | Pack of 6 files","Medical Class I, EC Declaration of Conformity",https://bondent.eu/dentistry-solutions/stainless-steel-k-files/,https://bondent.eu/wp-content/uploads/2022/02/网站图片-78.jpg
K File,Stainless Steel K Files,21mm,8,,,Pack of 6 files,Preparation Files,Stainless Steel Hand File,UDG,Bondent,UDG K File is a stainless steel hand instrument featuring a radiopaque silicon stopper and X-ray visible calibration rings. The inactive pilot tip guides the instrument safely along the canal to working length. Available in sizes #6 to #80.,Radiopaque silicon stopper; X-ray visible calibration rings; Inactive pilot tip; Stainless steel construction,"Sizes: #6, #8, #10, #15, #20, #25, #30, #35, #40 (individual) | Assorted #15-40, Assorted #45-80 | Lengths: 21mm, 25mm | Pack of 6 files","Medical Class I, EC Declaration of Conformity",https://bondent.eu/dentistry-solutions/stainless-steel-k-files/,https://bondent.eu/wp-content/uploads/2022/02/网站图片-78.jpg
K File,Stainless Steel K Files,21mm,10,,,Pack of 6 files,Preparation Files,Stainless Steel Hand File,UDG,Bondent,UDG K File is a stainless steel hand instrument featuring a radiopaque silicon stopper and X-ray visible calibration rings. The inactive pilot tip guides the instrument safely along the canal to working length. Available in sizes #6 to #80.,Radiopaque silicon stopper; X-ray visible calibration rings; Inactive pilot tip; Stainless steel construction,"Sizes: #6, #8, #10, #15, #20, #25, #30, #35, #40 (individual) | Assorted #15-40, Assorted #45-80 | Lengths: 21mm, 25mm | Pack of 6 files","Medical Class I, EC Declaration of Conformity",https://bondent.eu/dentistry-solutions/stainless-steel-k-files/,https://bondent.eu/wp-content/uploads/2022/02/网站图片-78.jpg
